Facility Name,County,Address
Level I,,
Archbold Grady Hospital,Grady,"1155 5th Street SE, Cairo, GA 39828"
Coffee Regional Medical Center,Coffee,"1101 Ocilla Road, Douglas, GA 31534"
Saint Francis Hospital Emory,Muscogee,"2122 Manchester Expressway, Columbus, GA 31904"
Tanner Medical Center/Villa Rica,Carroll,"601 Dallas Highway, Villa Rica, GA 30180"
Union General Hospital,Union,"35 Hospital Road, Blairsville, GA 30512"
Level II,,
Archbold Memorial Hospital,Thomas,"Gordon Avenue at Mimosa Drive, Thomasville, GA 31792"
Colquitt Regional Medical Center,Colquitt,"3131 South Main Street, Moultrie, GA 31768"
Crisp Regional Hospital,Crisp,"902 North 7th Street, Cordele, GA 31015"
Tift Regional Medical Center,Tift,"901 East 18th Street, Tifton, GA 31794"
Upson Regional Medical Center,Upson,"801 W Gordon St., Thomaston, GA 30286"
Wellstar Douglas Hospital,Douglas,"8954 Hospital Drive, Douglasville, GA 30134"
Wellstar North Fulton Medical Center,Fulton,"3000 Hospital Boulevard, Roswell, GA 30076"
Wellstar Spalding Regional Hospital,Spalding,"601 S 8th St, Griffin, GA 30224"
Wellstar West Georgia Medical Center,Troup,"1514 Vernon Road, LaGrange, GA 30240"
Level III,,
Northside Hospital Cherokee,Cherokee,"450 Northside Cherokee Boulevard, Canton, GA 30115"
Northside Hospital-Forsyth,Forsyth,"1200 Northside Forsyth Drive, Cumming, GA 30041"
Phoebe Putney Memorial Hospital,Dougherty,"417 W 3rd Ave, Albany, GA 31701"
Wellstar Cobb Medical Center,Cobb,"3950 Austell Rd. SW, Austell, GA 31534"
Level IV,,
Grady Memorial Hospital,Fulton,"80 Jesse Hill Jr. Drive SE, Atlanta, GA 30303"
Northside Hospital,Fulton,"1000 Johnson Ferry Road NE, Atlanta, GA 30342"
Piedmont Atlanta Hospital,Fulton,"1968 Peachtree Road NW, Atlanta, GA 30309"
Wellstar MCG Health,Richmond,"1120 15th St., Augusta, GA 30912"
