COUNTY,Increase per 10 years
Appling,0.30788006
Atkinson,0.060064974
Bacon,0.039689788
Baker,-0.01090864
Baldwin,0.050031758
Banks,0.657301032
Barrow,2.522508239
Bartow,1.493158388
Ben Hill,0.109656564
Berrien,0.254157195
Bibb,0.421789963
Bleckley,-0.001845469
Brantley,0.259988471
Brooks,0.006056138
Bryan,2.088321079
Bulloch,1.820056354
Burke,Unavailable
Butts,0.533880301
Calhoun,-0.026875726
Camden,1.41226526
Candler,0.053499906
Carroll,1.881746585
Catoosa,Unavailable
Charlton,-0.007270194
Chatham,3.189740303
Chattahoochee,Unavailable
Chattooga,0.188057615
Cherokee,4.099412116
Clarke,2.132462288
Clay,-0.027474564
Clayton,3.231268614
Clinch,0.00899297
Cobb,6.08069245
Coffee,0.380410721
Colquitt,0.458102933
Columbia,2.396385804
Cook,0.258604631
Coweta,2.607918321
Crawford,-0.002770251
Crisp,-0.339950346
Dade,0.001648126
Dawson,Unavailable
DeKalb,7.397705095
Decatur,Unavailable
Dodge,-0.126628691
Dooly,-0.056027456
Dougherty,-0.071076578
Douglas,1.951406832
Early,-0.046640884
Echols,-0.007626589
Effingham,2.121895698
Elbert,0.403730378
Emanuel,0.256235993
Evans,0.198742495
Fannin,0.099267794
Fayette,1.326934692
Floyd,0.417790026
Forsyth,5.123949782
Franklin,1.069353129
Fulton,12.29950484
Gilmer,0.597661526
Glascock,0.00144029
Glynn,0.782622782
Gordon,0.939117697
Grady,0.388851885
Greene,0.148155879
Gwinnett,10.28720281
Habersham,0.630501295
Hall,3.389969799
Hancock,-0.002652708
Haralson,0.779309854
Harris,0.670604012
Hart,Unavailable
Heard,0.070508536
Henry,4.033214345
Houston,1.811081782
Irwin,0.001609102
Jackson,2.821930054
Jasper,0.648918427
Jeff Davis,Unavailable
Jefferson,-0.082987421
Jenkins,0.015499087
Johnson,-0.007188542
Jones,0.302913036
Lamar,Unavailable
Lanier,0.061928358
Laurens,0.396804332
Lee,0.804144252
Liberty,0.917713598
Lincoln,0.024716704
Long,Unavailable
Lowndes,1.424579377
Lumpkin,1.222861776
Macon,-0.049581678
Madison,1.304166873
Marion,-0.024118329
McDuffie,Unavailable
McIntosh,0.047002196
Meriwether,Unavailable
Miller,-0.030730057
Mitchell,-0.145881678
Monroe,0.856043482
Montgomery,0.002815925
Morgan,0.57008289
Murray,0.773873929
Muscogee,0.942930268
Newton,2.525532956
Oconee,1.707875898
Oglethorpe,0.186078878
Paulding,2.882702286
Peach,0.455442658
Pickens,1.171359471
Pierce,0.40622772
Pike,0.700964185
Polk,0.431365807
Pulaski,-0.033771556
Putnam,Unavailable
Quitman,-0.01718649
Rabun,0.130923589
Randolph,-0.047704798
Richmond,0.699964267
Rockdale,0.751690249
Schley,-0.010959642
Screven,0.139991383
Seminole,-0.024275238
Spalding,1.188886246
Stephens,0.297331376
Stewart,-0.024421311
Sumter,-0.05971762
Talbot,-0.008487223
Taliaferro,-0.007318851
Tattnall,0.082770166
Taylor,-0.017549871
Telfair,-0.116991416
Terrell,-0.093339671
Thomas,0.38933308
Tift,0.349850316
Toombs,0.123591958
Towns,0.040244077
Treutlen,0.000899778
Troup,0.586229843
Turner,0.013713795
Twiggs,-0.018050191
Union,0.14062361
Upson,0.416428642
Walker,Unavailable
Walton,2.21217966
Ware,0.228322487
Warren,-0.00830973
Washington,-0.051627996
Wayne,0.395296002
Webster,-0.00940571
Wheeler,-0.032052678
White,0.77326875
Whitfield,0.904040818
Wilcox,-0.015130895
Wilkes,0.009745431
Wilkinson,-0.01844752
Worth,Unavailable
