Hospital Name,county,level
Bacon County Hospital and Health System,Bacon,
Atrium Health Navicent Baldwin,Baldwin,
Piedmont Cartersville Medical Center,Bartow,4
Atrium Health Navicent The Medical Center,Bibb,
Piedmont Macon Medical Center,Bibb,4
East Georgia Regional Medical Center,Bulloch,
Southeast Georgia Health System - Camden,Camden,
Candler Hospital,Chatham,
Memorial Health University Medical Center,Chatham,4
Northside Hospital Cherokee,Cherokee,3
Piedmont Athens Regional Medical Center,Clarke,4
St Mary's Hospital,Clarke,4
Southern Regional Medical Center,Clayton,
Wellstar Cobb Medical Center,Cobb,3
Wellstar Kennestone Regional Medical Center,Cobb,4
Coffee Regional Medical Center,Coffee,1
Colquitt Regional Medical Center,Colquitt,2
Piedmont Newnan Hospital,Coweta,4
Crisp Regional Hospital,Crisp,2
Emory Decatur Hospital,DeKalb,1
Memorial Hospital and Manor,Decatur,4
Phoebe Putney Memorial Hospital,Dougherty,3
Wellstar Douglas Medical Center,Douglas,4
Piedmont Fayette Hospital,Fayette,4
Atrium Health Floyd Medical Center,Floyd,
Northside Hospital Forsyth,Forsyth,3
St. Mary's Sacred Heart Hospital,Franklin,4
Emory Johns Creek Hospital,Fulton,1
Emory University Hospital Midtown,Fulton,1
Grady Health System,Fulton,4
Northside Hospital,Fulton,4
Piedmont Hospital,Fulton,4
Wellstar North Fulton Medical Center,Fulton,2
Southeast Georgia Health System - Brunswick,Glynn,
AdventHealth Gordon,Gordon,
Archbold Grady Hospital,Grady,1
Northside Hospital Gwinnett,Gwinnett,4
Piedmont Eastside Medical Center,Gwinnett,4
Northeast Georgia Medical Center Habersham,Habersham,
Northeast Georgia Medical Center,Hall,
Piedmont Henry Hospital,Henry,4
Houston Healthcare,Houston,
Fairview Park Hospital,Laurens,
Liberty Regional Medical Center,Liberty,
SGMC Health,Lowndes,
Piedmont Columbus Regional Midtown,Muscogee,4
St. Francis-Emory Healthcare,Muscogee,4
Piedmont Newton Hospital,Newton,4
Piedmont Mountainside Medical Center,Pickens,4
Doctors Hospital of Augusta,Richmond,
Piedmont Augusta Hospital,Richmond,4
Wellstar MCG Health,Richmond,4
Piedmont Rockdale Hospital,Rockdale,4
"Donalsonville Hospital, Inc.",Seminole,
Wellstar Spalding Medical Center,Spalding,4
Phoebe Sumter Medical Center,Sumter,3
Archbold Memorial Hospital,Thomas,2
Tift Regional Medical Center,Tift,2
Memorial Health Meadows Hospital,Toombs,4
Wellstar West Georgia Medical Center,Troup,2
Union General Hospital,Union,1
Upson Regional Medical Center,Upson,2
Piedmont Walton Hospital,Walton,4
Memorial Satilla Health,Ware,4
Wayne Memorial Hospital,Wayne,
Hamilton Medical Center,Whitfield,
